section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"MS, Candidate in Program Evaluation and Data Analytics",Arizona State University,"Tempe, AZ",2023,2025,NA,NA,NA
education,TRUE,"B.S., Planning, Public Policy, and Management (minor Business Administration, Nonprofit Administration)",University of Oregon,"Eugene, OR",2015,2020,NA,NA,NA
professional_positions,TRUE,Donor Relations and Database Specialist,Catholic Charities Eastern Washington,"Spokane, WA",2022,Present,"Process check, cash and credit card donations daily.",Conduct prospect research with iWave and other research techniques.,Process weekly donation acknowledgements using mail merge.
professional_positions,TRUE,Zero Emission Transportation Coordinator (AmeriCorps),Gonzaga University,"Spokane, WA",2021,2022,"Managed Gonzaga's Commute Trip Reduction program by organizing and leading workshops educating Gonzaga employees about sustainable commute 
alternatives.","Administered the yearly State of Washington's Commute Trip Reduction Survey to 1,300 Gonzaga employees.",Collaborated with community partners on projects that promoted sustainable transportation to Gonzaga employees.
professional_positions,TRUE,Payment Processing Specialist,Union Bank,"Eugene, OR",2020,2021,Reviewed over 70 transaction requests per month from corporate clients.,Performed callbacks to client representatives to ensure protection against fraud attempts.,Accurately inputted client-specific transaction requests into Union Bank's system.
professional_positions,TRUE,Prospect Research Analyst,University of Oregon Office of Advancement,"Eugene, OR",2019,2020,"Researched potential donors using online tools such as LexisNexis, iWave, public databases, and news sources.",Wrote research briefs on major donor prospects for use by development officers,"Updated donor records daily in the University of Oregon's database system, Ellucian Advance."
volunteer_positions,TRUE,Member of Alpha Phi Omega National Service Fraternity,Alpha Phi Omega National Service Fraternity,"Eugene, OR",2017,2020,Completed over 250 volunteer service hours.,"Completed workshops to improve teamwork, to discover my leadership, and overall learn more about being a leader.",NA
volunteer_positions,TRUE,Vice President of Finance,Alpha Phi Omega National Service Fraternity,"Eugene, OR",2017,2019,Managed Alpha Phi Omega's finances.,"Planned, advised and implemented multiple fundraisers each term, raising approzimately $4,000.",NA
volunteer_positions,TRUE,Conference Coordinator,Alpha Phi Omega National Service Fraternity,"Eugene, OR",2019,2020,"Organized a conference with 50 attendees with a budget of $1,500.",Organized sponsorships and donations valued at $400.,"Managed a team of 15 people who assisted in planning events, workshops, and an end-of-conference banquet."
volunteer_positions,TRUE,Alumni Relations Coordinator,Alpha Phi Omega National Service Fraternity,"Eugene, OR",2019,2020,Created surveys to collect alumni contact information and interest to create an alumni database.,Developed a mentor/mentee program where I connected alumni with our members to support our members' professional development.,NA
